Time,Distance,Alias Vehicle Speed,Math G Force Lat Corr
s,m,km/h,G
9.16,674,167.2,-2.4
9.18,675,167.6,-2.29
9.2,675,167.9,-2.24
9.22,676,168.4,-2.19
9.24,677,167.9,-2.13
9.26,678,167.9,-2.07
9.28,679,167.2,-2.03
9.3,680,167.6,-2
9.32,681,167.7,-2.02
9.34,682,167.9,-2.06
9.36,683,168.4,-2.08
9.38,684,168.2,-2.06
9.4,685,168.7,-2.04
9.42,686,168.6,-2.04
9.44,687,170.2,-2.09
9.46,688,170.8,-2.18
9.48,689,171.5,-2.25
9.5,690,171.3,-2.31
9.52,691,170.9,-2.34
9.54,691,170.7,-2.36
9.56,692,170.6,-2.34
9.58,693,171.1,-2.31
9.6,694,171.2,-2.31
9.62,695,172.1,-2.29
9.64,696,172,-2.27
9.66,697,172.6,-2.2
9.68,698,172.1,-2.11
9.7,699,172.2,-2.02
9.72,700,172.3,-2
9.74,701,172.1,-2.02
9.76,702,172.1,-2.05
9.78,703,172,-2.08
9.8,704,172.4,-2.08
9.82,705,172.5,-2.07
9.84,706,173.5,-2.05
9.86,707,173.4,-2.03
9.88,708,174,-2.01
9.9,709,174.5,-2.03
9.92,710,175,-2.02
9.94,711,175.3,-2.01
9.96,712,175.4,-2.01
9.98,713,175.3,-2.03
10,714,175.3,-2.06
10.02,715,176.2,-2.09
10.04,716,176.2,-2.11
10.06,717,176.9,-2.13
10.08,718,176.7,-2.11
10.1,719,177.5,-2.09
10.12,720,177.2,-2.1
10.14,721,177.3,-2.08
10.16,722,177.3,-2.02
10.18,723,177.8,-1.97
10.2,724,178,-1.94
10.22,725,178.8,-1.92
10.24,726,179.2,-1.86
10.26,727,179.8,-1.81
10.28,728,179.6,-1.81
10.3,729,179.4,-1.85
10.32,730,181,-1.87
10.34,731,181.2,-1.91
10.36,732,181.5,-1.98
10.38,733,181.1,-2.01
10.4,734,181.3,-1.98
10.42,735,180.9,-1.9
10.44,736,181.1,-1.78
10.46,737,180.9,-1.64
10.48,738,181.3,-1.49
10.5,739,181.8,-1.39
10.52,740,182.5,-1.31
10.54,741,182.4,-1.23
10.56,742,182.9,-1.18
10.58,743,182.8,-1.13
10.6,744,183.7,-1.11
10.62,745,183.6,-1.09
10.64,746,184.4,-1.06
10.66,747,184.7,-1.06
10.68,748,185.6,-1.08
10.7,749,186,-1.13
10.72,750,185.8,-1.15
10.74,751,186.6,-1.15
10.76,752,185.8,-1.2
10.78,753,186.4,-1.22
10.8,754,186.3,-1.22
10.82,755,187,-1.21
10.84,756,187,-1.17
10.86,757,187.7,-1.14
10.88,758,187.5,-1.11
10.9,759,188.5,-1.08
10.92,760,187.6,-1.06
10.94,761,187.8,-1.04
10.96,762,187.4,-1
10.98,763,189.4,-1
11,765,190,-1.02
11.02,766,190.9,-1.04
11.04,767,190.9,-1.04
11.06,768,191.2,-1.06
11.08,769,190.7,-1.15
11.1,770,191.4,-1.24
11.12,771,191.7,-1.3
11.14,772,192.5,-1.33
11.16,773,191.8,-1.39
11.18,774,192.5,-1.43
11.2,775,191.7,-1.41
11.22,776,192.2,-1.39
11.24,777,191.8,-1.37
11.26,778,192.8,-1.35
11.28,780,192.8,-1.33
11.3,781,193.9,-1.31
11.32,782,193.7,-1.32
11.34,783,194.4,-1.34
11.36,784,193.9,-1.36
11.38,785,194.6,-1.38
11.4,786,194.3,-1.4
11.42,787,195.2,-1.42
11.44,788,195,-1.44
11.46,789,195.9,-1.44
11.48,790,195.5,-1.42
11.5,791,196,-1.4
11.52,793,195.5,-1.38
11.54,794,196.3,-1.4
11.56,795,196.7,-1.42
11.58,796,197.2,-1.44
11.6,797,197.6,-1.46
11.62,798,197.5,-1.48
11.64,799,197.8,-1.5
11.66,800,197.7,-1.52
11.68,801,197.9,-1.55
11.7,802,198.2,-1.6
11.72,804,199.1,-1.68
11.74,805,199.6,-1.76
11.76,806,200.2,-1.81
11.78,807,200,-1.85
11.8,808,200.2,-1.91
11.82,809,200.2,-1.99
11.84,810,201.2,-2.07
11.86,811,201.1,-2.14
11.88,812,201.7,-2.16
11.9,814,201.2,-2.18
11.92,815,201.8,-2.2
11.94,816,201.8,-2.23
11.96,817,202.4,-2.27
11.98,818,202.2,-2.33
12,819,202.7,-2.37
12.02,820,202.7,-2.41
12.04,821,203,-2.43
12.06,823,203.6,-2.45
12.08,824,203.7,-2.48
12.1,825,203.9,-2.5
12.12,826,203.5,-2.48
12.14,827,203.3,-2.45
12.16,828,203,-2.4
12.18,829,203.8,-2.35
12.2,831,203.8,-2.32
12.22,832,204.7,-2.28
12.24,833,204.8,-2.25
12.26,834,205.4,-2.25
12.28,835,205.1,-2.27
