# x_m,y_m,w_tr_right_m,w_tr_left_m
271.502576,-283.819663,6.691,6.405
276.438068,-284.61419,6.675,6.392
281.373112,-285.409517,6.658,6.38
286.30785,-286.205463,6.641,6.368
291.242425,-287.00185,6.624,6.355
296.176978,-287.798497,6.608,6.343
301.111651,-288.595224,6.591,6.331
306.046588,-289.391852,6.574,6.319
310.981929,-290.188201,6.557,6.306
315.917817,-290.984093,6.541,6.294
320.85432,-291.779416,6.524,6.282
325.791376,-292.574183,6.507,6.269
330.728908,-293.368419,6.491,6.257
335.666841,-294.162151,6.474,6.245
340.605098,-294.955403,6.457,6.233
345.543603,-295.748201,6.44,6.22
350.482281,-296.540571,6.424,6.208
355.421054,-297.332538,6.407,6.196
360.359847,-298.124128,6.39,6.183
365.298584,-298.915365,6.374,6.171
370.237189,-299.706277,6.357,6.159
375.175585,-300.496888,6.34,6.146
380.113696,-301.287223,6.323,6.134
385.051446,-302.077309,6.307,6.122
389.98876,-302.86717,6.29,6.11
394.92556,-303.656833,6.273,6.097
399.861771,-304.446322,6.257,6.085
404.797499,-305.235176,6.24,6.073
409.73341,-306.021421,6.223,6.06
414.67028,-306.802792,6.206,6.048
419.608886,-307.577024,6.19,6.036
424.550003,-308.341852,6.178,6.012
429.494407,-309.095011,6.195,5.914
434.442874,-309.834236,6.213,5.816
439.39618,-310.557261,6.23,5.719
444.354962,-311.257745,6.248,5.621
449.318365,-311.885683,6.265,5.524
454.284627,-312.364564,6.282,5.426
459.251976,-312.617508,6.295,5.349
464.218622,-312.568241,6.288,5.365
469.181549,-312.190156,6.281,5.381
474.13562,-311.542314,6.274,5.396
479.075489,-310.692258,6.267,5.412
483.99572,-309.70697,6.171,5.503
488.883708,-308.608499,5.975,5.679
493.714596,-307.3421,5.78,5.854
498.462327,-305.84551,5.837,5.82
503.100846,-304.056462,6.115,5.601
507.605098,-301.924492,6.393,5.383
511.955468,-299.463135,6.354,5.436
516.134178,-296.707525,6.094,5.679
520.12345,-293.692812,5.835,5.921
523.911402,-290.453789,5.897,5.901
527.517592,-287.02333,6.082,5.779
530.972016,-283.433675,6.267,5.658
534.304678,-279.717063,6.432,5.718
537.545582,-275.905734,6.581,5.917
540.724732,-272.031925,6.731,6.117
543.872131,-268.127877,6.88,6.316
547.017783,-264.225828,7.029,6.516
550.183097,-260.351613,7.178,6.715
553.200874,-256.390488,7.327,6.915
555.720054,-252.09095,7.701,7.224
557.248538,-247.368305,8.507,7.945
556.911435,-242.633553,9.425,8.667
554.246967,-238.422577,9.844,8.739
550.136585,-235.372,9.526,8.579
545.475743,-233.759438,9.209,8.42
540.595488,-232.890652,9.113,8.328
535.676795,-232.129896,9.031,8.241
530.746024,-231.389114,8.949,8.154
525.805064,-230.666927,8.867,8.066
520.855807,-229.961957,8.785,7.979
515.900142,-229.272826,8.703,7.892
510.939959,-228.598156,8.621,7.805
505.97715,-227.936568,8.539,7.717
501.013603,-227.286683,8.457,7.63
496.05107,-226.646941,8.375,7.543
491.090107,-226.014201,8.293,7.456
486.130663,-225.384522,8.211,7.368
481.172679,-224.753957,8.13,7.281
476.2161,-224.118559,8.048,7.194
471.260868,-223.474379,7.966,7.107
466.306927,-222.817471,7.884,7.019
461.35422,-222.143887,7.802,6.932
456.402691,-221.449679,7.72,6.845
451.452191,-220.732921,7.638,6.758
446.502162,-220.000841,7.556,6.671
441.551928,-219.263257,7.474,6.583
436.600814,-218.529991,7.392,6.496
431.648144,-217.810861,7.31,6.409
426.693243,-217.115686,7.228,6.322
421.735436,-216.454287,7.146,6.234
416.774047,-215.836483,7.064,6.147
411.80843,-215.271645,6.982,6.06
406.838472,-214.761327,6.9,5.973
401.864508,-214.300441,6.818,5.885
396.886888,-213.883689,6.749,5.818
391.905961,-213.505774,6.718,5.809
386.922079,-213.161396,6.686,5.799
381.935592,-212.845257,6.655,5.789
376.946848,-212.55206,6.623,5.779
371.956198,-212.276509,6.592,5.77
366.963959,-212.01425,6.56,5.76
361.970363,-211.763238,6.529,5.75
356.975631,-211.521777,6.497,5.741
351.979984,-211.288168,6.466,5.731
346.983642,-211.060715,6.434,5.721
341.986826,-210.837719,6.403,5.712
336.989756,-210.617484,6.371,5.702
331.992653,-210.398311,6.34,5.692
326.99572,-210.178638,6.308,5.683
321.999016,-209.957989,6.277,5.673
317.002528,-209.736422,6.245,5.663
312.006245,-209.513993,6.214,5.654
307.010154,-209.290764,6.182,5.644
302.014243,-209.066792,6.151,5.634
297.0185,-208.842137,6.12,5.625
292.022913,-208.616857,6.088,5.615
287.02747,-208.391013,6.057,5.605
282.032158,-208.164662,6.025,5.595
277.036965,-207.937864,5.994,5.586
272.041879,-207.710677,5.962,5.576
267.046888,-207.483162,5.931,5.566
262.051979,-207.255376,5.899,5.557
257.057141,-207.02738,5.868,5.547
252.062361,-206.799231,5.836,5.537
247.067628,-206.570989,5.805,5.528
242.072928,-206.342714,5.773,5.518
237.07825,-206.114463,5.742,5.508
232.083581,-205.886296,5.71,5.499
227.08891,-205.658273,5.679,5.489
222.094223,-205.430452,5.647,5.479
217.09951,-205.202891,5.616,5.47
212.104758,-204.975652,5.584,5.46
207.109954,-204.748791,5.563,5.454
202.115086,-204.522368,5.563,5.456
197.120143,-204.296443,5.563,5.458
192.125112,-204.071074,5.564,5.461
187.12998,-203.846321,5.564,5.463
182.134736,-203.622242,5.564,5.465
177.139368,-203.398896,5.565,5.467
